Queuing Time	Time/Label
0	12.89805
7.50449	12.89805
0	117.71433
10.92427	117.71433
0	207.65447
2.45693	207.65447
0	316.87096
11.85109	316.87096
0	413.65077
7.77632	413.65077
0	516.60684
9.83035	516.60684
0	616.33394
11.68717	616.33394
0	711.82812
4.61214	711.82812
0	815.95402
10.35568	815.95402
0	912.13842
6.372	912.13842
0	1015.65679
11.83264	1015.65679
0	1118.50318
14.30333	1118.50318
0	1213.86568
5.38858	1213.86568
0	1310.1088
7.93615	1310.1088
0	1415.20008
10.77478	1415.20008
0	1518.93919
12.82207	1518.93919
0	1613.51264
8.30695	1613.51264
0	1716.4228
11.09445	1716.4228
0	1821.24034
16.05729	1821.24034
0	1915.69615
10.17551	1915.69615
0	2018.10478
9.3978	2018.10478
0	2113.41305
8.8895	2113.41305
0	2217.90367
14.94037	2217.90367
0	2311.05551
6.53104	2311.05551
0	2422.81344
21.66896	2422.81344
0	2508.88087
3.57096	2508.88087
0	2616.22161
11.27398	2616.22161
0	2712.22574
7.51765	2712.22574
0	2815.67581
11.3333	2815.67581
0	2919.67458
12.91075	2919.67458
0	3016.6978
12.40267	3016.6978
0	3112.99345
8.64853	3112.99345
0	3218.07595
9.65293	3218.07595
0	3310.8241
7.50481	3310.8241
0	3418.20778
15.33714	3418.20778
0	3512.12853
3.61158	3512.12853
0	3612.26532
6.60821	3612.26532
0	3714.90583
11.17494	3714.90583
0	3812.62219
2.3107	3812.62219
0	3913.92768
9.59206	3913.92768
0	4009.58389
4.29066	4009.58389
0	4113.91521
10.16068	4113.91521
0	4215.13287
14.29294	4215.13287
0	4312.36713
8.48766	4312.36713
0	4414.01835
10.16673	4414.01835
0	4519.9047
16.51439	4519.9047
0	4613.2458
9.55283	4613.2458
0	4707.17863
4.59843	4707.17863
0	4815.49255
10.51974	4815.49255
0	4914.98514
12.47391	4914.98514
0	5018.04943
10.69358	5018.04943
0	5114.40542
7.31757	5114.40542
0	5217.48693
12.72498	5217.48693
0	5320.88748
14.68653	5320.88748
0	5419.78586
15.44343	5419.78586
