Queuing Time	Time/Label
0	25.20616
3.23738	25.20616
0	135.98923
10.45999	135.98923
0	216.78312
0.49922	216.78312
0	325.51513
0.72718	325.51513
0	426.33312
5.9267	426.33312
0	529.26551
7.44862	529.26551
0	620.47493
2.34496	620.47493
0	728.47185
9.72218	728.47185
0	826.82989
2.80684	826.82989
0	926.03269
6.03091	926.03269
0	1027.82954
5.23363	1027.82954
0	1136.98834
11.567	1136.98834
0	1229.40022
10.94458	1229.40022
0	1320.45846
0.2671	1320.45846
0	1424.60702
2.1084	1424.60702
0	1529.79686
8.55569	1529.79686
0	1627.5636
4.04655	1627.5636
0	1725.95566
3.07154	1725.95566
0	1831.59555
2.03549	1831.59555
0	1925.87035
12.10534	1925.87035
0	2030.7258
1.33282	2030.7258
0	2124.22587
3.177	2124.22587
0	2226.36774
10.65343	2226.36774
0	2322.72635
3.99165	2322.72635
0	2437.40779
22.05753	2437.40779
0	2522.18382
5.84538	2522.18382
0	2629.89007
5.62537	2629.89007
0	2723.64832
0.70274	2723.64832
0	2825.92482
4.05432	2825.92482
0	2926.65741
6.36336	2926.65741
0	3026.23882
0.13028	3026.23882
0	3123.16981
0.09666	3123.16981
0	3229.12581
5.729	3229.12581
0	3332.93327
16.13906	3332.93327
0	3424.48298
8.27552	3424.48298
0	3528.95405
8.83013	3528.95405
0	3629.46692
9.25756	3629.46692
0	3726.92404
5.67368	3726.92404
0	3828.23223
8.10683	3828.23223
0	3928.46648
7.98751	3928.46648
0	4023.77259
6.9618	4023.77259
0	4121.29539
1.95005	4121.29539
0	4227.23569
5.88665	4227.23569
0	4329.99782
12.30429	4329.99782
0	4428.45417
9.03404	4428.45417
0	4528.10789
1.21349	4528.10789
0	4622.73449
0.94076	4622.73449
0	4724.40866
8.16781	4724.40866
0	4823.62845
0.20201	4823.62845
0	4937.37054
19.74163	4937.37054
0	5031.02629
5.08103	5031.02629
0	5130.82639
8.26701	5130.82639
0	5227.54347
3.28346	5227.54347
0	5329.42778
13.936	5329.42778
0	5428.00861
1.47563	5428.00861
0	5525.05828
0.69108	5525.05828
0	5625.80866
7.67932	5625.80866
0	5720.93015
4.13079	5720.93015
0	5833.98664
14.48121	5833.98664
0	5925.62528
1.62348	5925.62528
0	6027.09989
7.63697	6027.09989
0	6122.55175
0.6504	6122.55175
0	6215.82028
0.91472	6215.82028
0	6334.11389
15.47431	6334.11389
0	6438.45273
17.59854	6438.45273
0	6532.49944
0.86119	6532.49944
0	6631.35918
5.41768	6631.35918
0	6728.77993
0.84757	6728.77993
0	6825.53388
2.06845	6825.53388
0	6926.60005
4.21158	6926.60005
0	7023.34256
1.60393	7023.34256
0	7131.91698
6.32807	7131.91698
0	7228.44678
7.19228	7228.44678
0	7330.37755
9.71328	7330.37755
0	7424.55322
0.37834	7424.55322
0	7523.25681
2.38412	7523.25681
0	7626.08476
6.37233	7626.08476
0	7728.42888
6.61957	7728.42888
0	7824.5608
0.78768	7824.5608
0	7928.79436
12.31462	7928.79436
0	8027.56115
10.19351	8027.56115
0	8130.15158
0.20633	8130.15158
0	8228.95459
8.69964	8228.95459
0	8325.61344
4.45055	8325.61344
0	8434.43049
13.90616	8434.43049
0	8527.57011
13.24962	8527.57011
0	8625.9945
7.18643	8625.9945
0	8728.38832
11.01836	8728.38832
0	8831.76453
7.09182	8831.76453
0	8931.02163
8.09746	8931.02163
0	9039.09449
19.9756	9039.09449
0	9124.1974
1.30947	9124.1974
0	9221.47537
0.01268	9221.47537
0	9325.70851
4.06559	9325.70851
0	9428.82846
8.71055	9428.82846
0	9529.65963
10.02617	9529.65963
0	9626.8343
2.78402	9626.8343
0	9727.64747
2.63926	9727.64747
0	9828.73305
6.76885	9828.73305
0	9938.79521
7.09918	9938.79521
0	10030.87132
0.71118	10030.87132
0	10132.16198
2.33597	10132.16198
0	10229.21545
2.79765	10229.21545
0	10321.90452
0.77943	10321.90452
0	10431.19935
8.54266	10431.19935
0	10523.71028
10.31363	10523.71028
0	10623.5075
6.9357	10623.5075
0	10728.14329
3.9213	10728.14329
0	10825.74161
1.30299	10825.74161
0	10924.96146
1.27268	10924.96146
0	11031.87575
10.44118	11031.87575
0	11131.16656
1.97104	11131.16656
0	11222.20305
4.97937	11222.20305
0	11329.9876
7.78413	11329.9876
0	11427.44643
2.35159	11427.44643
0	11532.91418
6.82415	11532.91418
0	11626.75839
2.34164	11626.75839
0	11720.39205
2.01917	11720.39205
0	11828.1388
8.9098	11828.1388
0	11925.9996
0.95536	11925.9996
0	12025.45937
5.78091	12025.45937
0	12125.48946
0.72608	12125.48946
0	12231.73144
8.28757	12231.73144
0	12321.21627
1.391	12321.21627
0	12429.69051
5.69159	12429.69051
0	12525.84883
5.88749	12525.84883
0	12631.5821
11.09647	12631.5821
0	12724.00729
2.13976	12724.00729
0	12830.36597
12.24347	12830.36597
0	12933.54874
5.43104	12933.54874
0	13028.37855
12.31093	13028.37855
0	13132.69791
1.07535	13132.69791
0	13223.41148
3.21971	13223.41148
0	13321.94201
0.52118	13321.94201
0	13438.27226
8.38512	13438.27226
0	13529.10894
4.9512	13529.10894
0	13629.06293
4.97048	13629.06293
0	13719.55606
0.55744	13719.55606
0	13832.38217
5.68156	13832.38217
0	13923.84654
7.2038	13923.84654
0	14028.67595
2.32395	14028.67595
0	14129.25035
4.34725	14129.25035
0	14227.69232
6.72877	14227.69232
0	14327.78816
3.43972	14327.78816
0	14426.45309
5.89115	14426.45309
0	14529.4005
3.32925	14529.4005
0	14631.98679
3.28418	14631.98679
0	14726.38493
7.72363	14726.38493
0	14824.82656
3.66214	14824.82656
0	14934.74631
3.83353	14934.74631
0	15030.7522
3.60055	15030.7522
0	15126.50835
2.0185	15126.50835
0	15228.07045
11.51699	15228.07045
0	15329.47993
10.15748	15329.47993
0	15439.35664
10.12133	15439.35664
0	15524.52409
0.65364	15524.52409
0	15626.07591
5.6759	15626.07591
0	15730.29465
8.97277	15730.29465
0	15824.64032
3.55265	15824.64032
0	15922.12539
3.85192	15922.12539
0	16023.34875
6.81784	16023.34875
0	16132.22375
6.59045	16132.22375
0	16226.44847
0.78106	16226.44847
0	16323.16007
2.87301	16323.16007
0	16428.90709
2.28749	16428.90709
0	16523.35682
5.39921	16523.35682
0	16624.00913
0.64079	16624.00913
0	16727.20572
2.87544	16727.20572
0	16828.72509
9.91044	16828.72509
0	16923.8133
8.16656	16923.8133
0	17029.66122
3.85326	17029.66122
0	17125.42795
1.58351	17125.42795
0	17220.91849
0.58754	17220.91849
0	17327.17821
2.48835	17327.17821
0	17420.88931
1.82706	17420.88931
0	17524.35622
0.71141	17524.35622
0	17623.0091
3.2401	17623.0091
0	17725.78248
3.06735	17725.78248
0	17822.13549
5.76628	17822.13549
0	17925.78393
0.36685	17925.78393
0	18023.75868
12.30051	18023.75868
0	18131.09825
2.90798	18131.09825
0	18222.26474
4.70276	18222.26474
0	18319.90166
1.01429	18319.90166
0	18424.59104
1.86324	18424.59104
0	18524.08803
1.08756	18524.08803
0	18619.07581
5.48388	18619.07581
0	18727.77331
2.45347	18727.77331
0	18829.38527
9.22854	18829.38527
0	18933.24798
14.28181	18933.24798
0	19029.04059
12.99268	19029.04059
0	19132.77863
5.09651	19132.77863
0	19221.82686
1.27001	19221.82686
0	19327.3073
2.20052	19327.3073
0	19423.0183
1.02004	19423.0183
0	19519.32178
1.2922	19519.32178
0	19628.11418
0.20857	19628.11418
0	19734.46889
10.68472	19734.46889
0	19825.39019
0.8023	19825.39019
0	19928.69297
1.56448	19928.69297
0	20025.32493
6.98014	20025.32493
0	20124.84836
0.88219	20124.84836
0	20223.58488
7.53288	20223.58488
0	20325.98751
3.25076	20325.98751
0	20427.43018
13.2766	20427.43018
0	20526.63532
4.72038	20526.63532
0	20619.08586
0.9777	20619.08586
0	20732.97896
5.2422	20732.97896
0	20827.57816
7.07296	20827.57816
0	20922.95231
4.4915	20922.95231
0	21021.64664
5.57228	21021.64664
0	21126.54428
9.04228	21126.54428
0	21225.99441
1.28092	21225.99441
0	21333.28702
13.34779	21333.28702
0	21429.52387
7.05072	21429.52387
0	21523.4013
1.87265	21523.4013
0	21633.03837
5.65858	21633.03837
0	21729.86627
2.89701	21729.86627
0	21825.8504
15.3467	21825.8504
0	21933.81067
10.52284	21933.81067
0	22026.95403
1.02458	22026.95403
0	22124.35686
1.6457	22124.35686
0	22237.48024
14.02315	22237.48024
0	22330.13745
4.33627	22330.13745
0	22428.39056
7.18364	22428.39056
0	22527.8167
1.06539	22527.8167
0	22619.68629
0.13354	22619.68629
0	22737.25041
10.86659	22737.25041
0	22822.48266
0.59029	22822.48266
0	22934.5954
10.92992	22934.5954
0	23025.51743
0.61613	23025.51743
0	23129.33156
3.25927	23129.33156
0	23225.34943
1.56911	23225.34943
0	23327.15513
5.95242	23327.15513
0	23422.94448
4.14385	23422.94448
0	23538.14153
16.2332	23538.14153
0	23633.81995
8.34655	23633.81995
0	23728.79865
12.29305	23728.79865
0	23828.87654
10.31202	23828.87654
0	23925.23919
4.87956	23925.23919
0	24022.98183
3.22905	24022.98183
0	24133.48048
4.27997	24133.48048
0	24229.88014
4.97936	24229.88014
0	24333.41644
2.57793	24333.41644
0	24424.58422
11.72531	24424.58422
0	24524.61326
7.42526	24524.61326
0	24630.21351
0.55045	24630.21351
0	24733.47222
15.96607	24733.47222
0	24824.12641
2.1674	24824.12641
0	24925.79401
9.48171	24925.79401
0	25026.79501
13.54135	25026.79501
0	25125.56221
3.58965	25125.56221
0	25215.74535
7.75021	25215.74535
0	25331.85476
9.22637	25331.85476
0	25420.88815
5.24521	25420.88815
0	25524.95161
0.98882	25524.95161
0	25626.28339
6.61398	25626.28339
0	25722.29326
8.61998	25722.29326
0	25824.05933
4.82662	25824.05933
0	25926.72932
4.01307	25926.72932
0	26022.12984
3.18214	26022.12984
0	26124.35784
8.56493	26124.35784
0	26229.59731
1.64234	26229.59731
0	26318.9942
0.56516	26318.9942
0	26423.53121
1.25677	26423.53121
0	26528.17414
5.82	26528.17414
0	26628.65466
7.07105	26628.65466
0	26722.06642
2.25578	26722.06642
0	26823.54397
6.64031	26823.54397
0	26927.77459
4.96517	26927.77459
0	27026.96474
10.63721	27026.96474
0	27119.64216
3.30603	27119.64216
0	27220.28051
7.4942	27220.28051
0	27334.14286
2.8275	27334.14286
0	27432.75465
9.85577	27432.75465
0	27526.0425
8.49671	27526.0425
0	27632.94566
12.80573	27632.94566
0	27728.612
6.15365	27728.612
0	27830.58449
3.32749	27830.58449
0	27928.74939
3.92362	27928.74939
0	28026.83483
10.8005	28026.83483
0	28128.32772
3.15113	28128.32772
0	28232.61663
3.99294	28232.61663
0	28332.15357
9.04457	28332.15357
0	28420.9508
3.7239	28420.9508
0	28530.59156
12.4678	28530.59156
0	28626.45331
5.89868	28626.45331
0	28727.08459
5.60335	28727.08459
0	28830.9702
0.94829	28830.9702
0	28932.25308
14.31516	28932.25308
0	29024.43726
2.69127	29024.43726
0	29120.07298
0.11114	29120.07298
0	29228.05266
1.85587	29228.05266
0	29325.07372
0.82059	29325.07372
0	29425.75828
2.85071	29425.75828
0	29527.55223
6.38217	29527.55223
0	29620.30592
5.40199	29620.30592
0	29726.18046
1.09122	29726.18046
0	29825.06424
0.0471	29825.06424
0	29921.39888
4.1582	29921.39888
0	30026.10411
10.8593	30026.10411
0	30126.12782
2.81459	30126.12782
0	30225.62267
8.32934	30225.62267
0	30324.01232
1.00257	30324.01232
0	30427.57878
1.6333	30427.57878
0	30531.39698
1.9827	30531.39698
0	30629.86884
9.62134	30629.86884
0	30725.91501
0.46498	30725.91501
0	30832.74188
5.23468	30832.74188
0	30926.58383
9.19976	30926.58383
0	31030.52316
1.34082	31030.52316
0	31127.02483
1.90892	31127.02483
0	31222.74101
3.01543	31222.74101
0	31329.29686
7.0136	31329.29686
0	31440.64614
8.11282	31440.64614
0	31529.60386
6.58548	31529.60386
0	31621.50809
7.04569	31621.50809
0	31728.79946
6.26947	31728.79946
0	31826.63694
2.44048	31826.63694
0	31928.29553
2.02717	31928.29553
0	32027.57369
0.05073	32027.57369
0	32127.95871
4.52015	32127.95871
0	32231.2129
2.53177	32231.2129
0	32324.95902
3.23412	32324.95902
0	32430.38056
8.56511	32430.38056
0	32527.02244
0.63019	32527.02244
0	32628.98435
13.65205	32628.98435
0	32732.92872
7.33009	32732.92872
0	32827.88186
3.11233	32827.88186
0	32928.94884
4.80812	32928.94884
0	33028.66087
5.16114	33028.66087
0	33122.36718
4.15321	33122.36718
0	33232.81454
6.61387	33232.81454
0	33325.97194
3.25276	33325.97194
