Time in simulation	Time/Label
31.57007	68431.57007
24.97818	68524.97818
36.17588	68636.17588
26.9471	68726.9471
27.85379	68827.85379
34.27959	68934.27959
31.69079	69031.69079
20.02159	69120.02159
27.35344	69227.35344
38.38923	69338.38923
32.64054	69432.64054
35.17306	69535.17306
31.84817	69631.84817
25.60363	69725.60363
30.2293	69830.2293
31.93446	69931.93446
31.56966	70031.56966
42.35872	70142.35872
35.31009	70235.31009
32.23428	70332.23428
35.0436	70435.0436
29.05089	70529.05089
35.3215	70635.3215
39.46645	70739.46645
32.97623	70832.97623
33.87992	70933.87992
33.70076	71033.70076
38.56847	71138.56847
29.52434	71229.52434
28.65385	71328.65385
36.70889	71436.70889
39.48212	71539.48212
32.7051	71632.7051
30.94038	71730.94038
30.29525	71830.29525
30.22476	71930.22476
31.18919	72031.18919
29.65644	72129.65644
41.0773	72241.0773
28.01733	72328.01733
38.99479	72438.99479
31.85626	72531.85626
34.28565	72634.28565
38.71199	72738.71199
25.45449	72825.45449
38.52946	72938.52946
30.78275	73030.78275
30.07466	73130.07466
24.83568	73224.83568
34.45081	73334.45081
22.41711	73422.41711
30.5052	73530.5052
30.69778	73630.69778
33.2147	73733.2147
35.13154	73835.13154
40.37657	73940.37657
33.01817	74033.01817
35.08719	74135.08719
36.48823	74236.48823
28.9174	74328.9174
36.84744	74436.84744
37.06335	74537.06335
30.85288	74630.85288
28.61842	74728.61842
24.73209	74824.73209
35.98446	74935.98446
31.03751	75031.03751
34.257	75134.257
31.64991	75231.64991
35.3819	75335.3819
31.30127	75431.30127
30.02505	75530.02505
27.18855	75627.18855
31.03293	75731.03293
38.37471	75838.37471
25.32023	75925.32023
41.7759	76041.7759
24.27769	76124.27769
32.14314	76232.14314
35.23761	76335.23761
28.02068	76428.02068
32.20684	76532.20684
40.71039	76640.71039
36.93894	76736.93894
30.86903	76830.86903
35.43515	76935.43515
27.32458	77027.32458
28.69395	77128.69395
38.05438	77238.05438
29.1994	77329.1994
31.81421	77431.81421
39.18087	77539.18087
28.49884	77628.49884
35.98723	77735.98723
24.77425	77824.77425
27.74909	77927.74909
32.18978	78032.18978
34.74112	78134.74112
33.58646	78233.58646
27.88305	78327.88305
30.53163	78430.53163
34.28364	78534.28364
32.50862	78632.50862
30.35612	78730.35612
40.2602	78840.2602
33.99891	78933.99891
33.73054	79033.73054
31.01239	79131.01239
27.59584	79227.59584
36.4638	79336.4638
39.09498	79439.09498
28.56062	79528.56062
33.15523	79633.15523
23.79239	79723.79239
33.29042	79833.29042
24.42148	79924.42148
31.62728	80031.62728
34.91141	80134.91141
36.58412	80236.58412
39.7419	80339.7419
25.17013	80425.17013
34.05026	80534.05026
32.09717	80632.09717
33.63657	80733.63657
35.37086	80835.37086
29.82541	80929.82541
33.4529	81033.4529
29.82518	81129.82518
26.95545	81226.95545
30.59406	81330.59406
39.21168	81439.21168
38.28608	81538.28608
41.71551	81641.71551
26.00077	81726.00077
37.83112	81837.83112
29.85624	81929.85624
20.58998	82020.58998
29.14053	82129.14053
33.27958	82233.27958
37.08882	82337.08882
28.68622	82428.68622
33.54175	82533.54175
27.62945	82627.62945
38.07486	82738.07486
28.07134	82828.07134
37.36888	82937.36888
43.79302	83043.79302
37.59689	83137.59689
39.03933	83239.03933
32.28044	83332.28044
29.84666	83429.84666
43.87235	83543.87235
30.54797	83630.54797
25.01656	83725.01656
30.96765	83830.96765
36.41909	83936.41909
26.86538	84026.86538
27.94978	84127.94978
32.34025	84232.34025
30.16169	84330.16169
32.17362	84432.17362
27.97326	84527.97326
30.6752	84630.6752
29.18324	84729.18324
30.796	84830.796
40.40163	84940.40163
32.58176	85032.58176
30.19182	85130.19182
34.07762	85234.07762
31.03916	85331.03916
29.66764	85429.66764
39.24364	85539.24364
27.77288	85627.77288
34.00825	85734.00825
34.67356	85834.67356
31.6263	85931.6263
24.89343	86024.89343
32.18491	86132.18491
36.00873	86236.00873
39.25261	86339.25261
33.3967	86433.3967
27.47399	86527.47399
28.04554	86628.04554
37.96149	86737.96149
23.47944	86823.47944
35.86931	86935.86931
33.11899	87033.11899
26.59403	87126.59403
37.93482	87237.93482
35.25525	87335.25525
30.65227	87430.65227
31.25172	87531.25172
34.9634	87634.9634
27.63729	87727.63729
34.95679	87834.95679
30.127	87930.127
32.78501	88032.78501
28.72702	88128.72702
27.81798	88227.81798
29.75618	88329.75618
37.13115	88437.13115
36.5676	88536.5676
29.56309	88629.56309
37.05801	88737.05801
35.38842	88835.38842
38.57211	88938.57211
36.15212	89036.15212
34.2247	89134.2247
26.32202	89226.32202
34.03378	89334.03378
41.57043	89441.57043
34.15608	89534.15608
25.92747	89625.92747
30.7924	89730.7924
26.22069	89826.22069
25.64686	89925.64686
38.59308	90038.59308
36.52178	90136.52178
29.85825	90229.85825
32.40867	90332.40867
26.02281	90426.02281
29.17852	90529.17852
25.26321	90625.26321
29.98715	90729.98715
23.65819	90823.65819
33.85003	90933.85003
33.94257	91033.94257
38.62237	91138.62237
23.17664	91223.17664
23.50156	91323.50156
42.20318	91442.20318
41.3736	91541.3736
35.77181	91635.77181
27.37212	91727.37212
29.9783	91829.9783
31.78327	91931.78327
30.94206	92030.94206
44.46493	92144.46493
35.69586	92235.69586
33.96718	92333.96718
32.33543	92432.33543
37.396	92537.396
27.78741	92627.78741
31.19295	92731.19295
31.04612	92831.04612
31.74323	92931.74323
31.63605	93031.63605
25.50704	93125.50704
41.78599	93241.78599
34.20459	93334.20459
36.32263	93436.32263
39.63351	93539.63351
